event,taxaGroup,rep,cpmE,CmnCpm,CRmlcd,CrMNmlcd
SJR1,FlagSm,2,29.31456039,33.96967237,3.653890119,10.945702
SJR1,FlagSm,3,60.39104383,33.96967237,-14.26444758,10.945702
SJR1,Other,1,60.32844234,41.95106545,-9.006808598,-6.121008073
SJR1,Other,2,72.0539003,41.95106545,-13.41007588,-6.121008073
SJR1,Other,3,35.62283191,41.95106545,4.053860257,-6.121008073
SJR2,CenDiaLg,1,1.917252147,5.16048495,24.54716059,38.62832735
SJR2,CenDiaLg,2,1.330638893,5.16048495,33.60191496,38.62832735
SJR2,CenDiaLg,3,0.502674352,5.16048495,57.7359065,38.62832735
SJR2,CenDiaSm,1,18.1108509,33.24360796,15.05724976,18.22316468
SJR2,CenDiaSm,2,20.31193326,33.24360796,12.21371246,18.22316468
SJR2,CenDiaSm,3,11.00898375,33.24360796,27.39853181,18.22316468
SJR2,CilLg,1,1.005464481,6.756936015,47.23109827,35.29957388
SJR2,CilLg,2,2.04570185,6.756936015,29.62179242,35.29957388
SJR2,CilLg,3,2.093784079,6.756936015,29.04583095,35.29957388
SJR2,CilSm,1,3.5389019,8.15610156,20.69979771,30.39468211
SJR2,CilSm,2,2.072646251,8.15610156,33.9630991,30.39468211
SJR2,CilSm,3,1.86945007,8.15610156,36.52114952,30.39468211
SJR2,FlagSm,1,64.11657559,77.73510821,4.77497611,15.08870237
SJR2,FlagSm,2,42.9037774,77.73510821,14.73485581,15.08870237
SJR2,FlagSm,3,27.50584203,77.73510821,25.75627518,15.08870237
SJR2,Other,1,24.02498048,32.39322952,7.409120807,11.89986148
SJR2,Other,2,23.73594487,32.39322952,7.709188784,11.89986148
SJR2,Other,3,14.1226567,32.39322952,20.58127486,11.89986148
WLD2,CenDiaLg,1,0.127356088,0.746755705,43.85028753,36.82450909
WLD2,CenDiaLg,2,0.176600442,0.746755705,35.74582264,36.82450909
WLD2,CenDiaLg,3,0.214919266,0.746755705,30.8774171,36.82450909
WLD2,CenDiaSm,1,2.681180792,3.276832242,4.973701296,-6.850447664
WLD2,CenDiaSm,2,3.253166028,3.276832242,0.179702179,-6.850447664
WLD2,CenDiaSm,3,9.24152842,3.276832242,-25.70474647,-6.850447664
WLD2,CilLg,1,1.443368993,6.967049874,39.02733706,45.25330601
WLD2,CilLg,2,0.750551876,6.967049874,55.23926407,45.25330601
WLD2,CilLg,3,1.306709135,6.967049874,41.49331689,45.25330601
WLD2,CilSm,1,9.160701039,22.18753277,21.93090259,23.6975522
WLD2,CilSm,2,6.041594051,22.18753277,32.25055323,23.6975522
WLD2,CilSm,3,11.21663647,22.18753277,16.91120079,23.6975522
WLD2,FlagSm,1,200.5140207,156.9065502,-6.079753783,-0.934612165
WLD2,FlagSm,2,129.4959252,156.9065502,4.760024578,-0.934612165
WLD2,FlagSm,3,166.5863107,156.9065502,-1.48410729,-0.934612165
WLD2,Other,1,180.1019359,148.2579399,-4.823699888,-2.518817568
WLD2,Other,2,140.9620077,148.2579399,1.251066566,-2.518817568
WLD2,Other,3,174.1027197,148.2579399,-3.983819383,-2.518817568
YBP1,CenDiaLg,1,0.922726168,1.480967801,11.72939761,36.32967552
YBP1,CenDiaLg,2,0.209084732,1.480967801,48.53493066,36.32967552
YBP1,CenDiaLg,3,0.207490404,1.480967801,48.72469831,36.32967552
YBP1,CenDiaSm,1,4.185151084,5.118771384,4.992338615,5.624655816
YBP1,CenDiaSm,2,3.554440437,5.118771384,9.04193726,5.624655816
YBP1,CenDiaSm,3,4.564788879,5.118771384,2.839691573,5.624655816
YBP1,CilLg,1,2.134427053,9.017946905,35.72524885,33.30372218
YBP1,CilLg,2,3.336992316,9.017946905,24.64655596,33.30372218
YBP1,CilLg,3,1.830065359,9.017946905,39.53936172,33.30372218
YBP1,CilSm,1,13.7512107,25.04096809,14.85978624,16.86414122
YBP1,CilSm,2,11.9178297,25.04096809,18.40725802,16.86414122
YBP1,CilSm,3,12.44942421,25.04096809,17.32537941,16.86414122
YBP1,FlagSm,1,248.1350016,389.3461567,11.16854298,8.955043965
YBP1,FlagSm,2,313.064177,389.3461567,5.406085788,8.955043965
YBP1,FlagSm,3,257.08061,389.3461567,10.29050312,8.955043965
YBP1,Other,1,47.41975471,72.05023729,10.37096672,3.982276707
YBP1,Other,2,73.39501333,72.05023729,-0.458456901,3.982276707
YBP1,Other,3,66.3741052,72.05023729,2.034320305,3.982276707
YBP2,CenDiaLg,1,1.291405695,34.3714337,81.35371763,61.86273268
YBP2,CenDiaLg,2,4.71359697,34.3714337,49.25545113,61.86273268
YBP2,CenDiaLg,3,3.74186551,34.3714337,54.97902928,61.86273268
YBP2,CenDiaSm,1,53.50109308,184.3483284,30.67038992,53.31418113
YBP2,CenDiaSm,2,4.304654767,184.3483284,93.14551745,53.31418113
YBP2,CenDiaSm,3,42.93203181,184.3483284,36.126636,53.31418113
YBP2,CilLg,1,1.549686834,8.540315925,42.31305641,49.03662574
YBP2,CilLg,2,3.680479826,8.540315925,20.86850614,49.03662574
YBP2,CilLg,3,0.28922632,8.540315925,83.92831468,49.03662574
YBP2,CilSm,1,18.02433377,57.66701573,28.83178206,43.89865121
YBP2,CilSm,2,2.697583654,57.66701573,75.92023805,43.89865121
YBP2,CilSm,3,19.45046999,57.66701573,26.94393352,43.89865121
YBP2,FlagSm,1,213.0819397,237.2915375,2.667898584,4.985305364
YBP2,FlagSm,2,149.7063269,237.2915375,11.41938743,4.985305364
YBP2,FlagSm,3,229.1214751,237.2915375,0.868630074,4.985305364
YBP2,Other,1,263.6312483,454.9904806,13.52943618,8.247837856
YBP2,Other,2,274.364346,454.9904806,12.54010953,8.247837856
YBP2,Other,3,479.989154,454.9904806,-1.326032144,8.247837856
